,CountryName,PresidentName,PoliticalParty,BOD,AssumptionDate
0,Algeria,Abdelmadjid Tebboune,National Liberation Front,1945-11-17,19 December 2019
1,Angola,João Lourenço,People's Movement for the Liberation of Angola,1954-03-05,26 September 2017
2,Benin,Patrice Talon,Independent,1958-05-01,6 April 2016
3,Botswana,Mokgweetsi Masisi,Botswana Democratic Party,1962-07-21,1 April 2018
4,Burkina Faso,Roch Marc Christian Kaboré,Organization for Popular Democracy – Labour Movement,1957-04-25,29 December 2015
5,Burundi,Évariste Ndayishimiye,CNDD–FDD,,18 June 2020
6,Cameroon,Paul Biya,RDPC,1933-02-13,6 November 1982
7,Cape Verde,José Maria Neves,African Party for the Independence of Cape Verde,1960-03-28,9 November 2021
8,Central African Republic,Faustin-Archange Touadéra,United Hearts Movement,1957-04-21,30 March 2016
9,Chad,Null,,,
10,Comoros,Azali Assoumani,Convention for the Renewal of the Comoros,1959-01-01,26 May 2019
11,Democratic Republic of the Congo,Félix Tshisekedi,Union for Democracy and Social Progress,1963-06-13,24 January 2019
12,Republic of the Congo,Denis Sassou Nguesso,Congolese Party of Labour,1943-11-23,25 October 1997
13,Djibouti,Ismaïl Omar Guelleh,People's Rally for Progress,1947-11-27,8 May 1999
14,Egypt,Abdel Fattah el-Sisi,Independent,1954-11-19,8 June 2014
15,Equatorial Guinea,Teodoro Obiang Nguema Mbasogo,Democratic Party,1942-06-05,3 August 1979
16,Eritrea,Isaias Afwerki,People's Front for Democracy and Justice,1946-02-02,19 May 1993
17,Eswatini,Null,,,
18,Ethiopia,Sahle-Work Zewde,Independent,1950-02-21,25 October 2018
19,Gabon,Ali Bongo Ondimba,PDG,1959-02-09,16 October 2009
20,The Gambia,Adama Barrow,National People's Party,1965-02-15,19 January 2017
21,Ghana,Nana Akufo-Addo,New Patriotic Party,1944-03-29,7 January 2017
22,Guinea,Mamady Doumbouya,,,1 October 2021
23,Guinea-Bissau,Umaro Sissoco Embaló,Madem G15,1972-09-23,27 February 2020
24,Ivory Coast,Alassane Ouattara,Democratic Party,1942-01-01,4 December 2010
25,Kenya,Uhuru Kenyatta,Kenya African National Union,1961-10-26,9 April 2013
26,Lesotho,Letsie III,,1963-07-17,
27,Liberia,George Weah,Congress for Democratic Change,1966-10-01,22 January 2018
28,Libya,Null,,,
29,Madagascar,Andry Rajoelina,Young Malagasies Determined,1974-05-30,19 January 2019
30,Malawi,Lazarus Chakwera,Malawi Congress Party,1955-04-05,28 June 2020
31,Mali,Assimi Goïta,,,24 May 2021
32,Mauritania,Mohamed Ould Ghazouani,Union for the Republic,1956-12-04,1 August 2019
33,Mauritius,President,,,
34,Morocco,Null,,,
35,Mozambique,Filipe Nyusi,FRELIMO,1959-02-12,15 January 2015
36,Namibia,Hage Geingob,SWAPO,1941-08-03,21 March 2015
37,Niger,Mohamed Bazoum,Nigerien Party for Democracy and Socialism,1960-01-01,2 April 2021
38,Nigeria,Muhammadu Buhari,All Progressives Congress,1942-12-17,30 May 2015
39,Rwanda,Paul Kagame,Rwandan Patriotic Front,1957-10-23,22 April 2000
40,São Tomé and Príncipe,Carlos Vila Nova,ADI,,2 October 2021
41,Senegal,Macky Sall,Senegalese Democratic Party,1961-12-11,2 April 2012
42,Seychelles,Wavel Ramkalawan,Linyon Demokratik Seselwa,1959-03-15,26 October 2020
43,Sierra Leone,Julius Maada Bio,Sierra Leone People's Party,1964-05-12,4 April 2018
44,Somalia,Mohamed Abdullahi Mohamed,citation needed,1962-03-11,16 February 2017
45,South Africa,Cyril Ramaphosa,African National Congress,1952-11-17,15 February 2018
46,South Sudan,Salva Kiir Mayardit,Sudan People's Liberation Movement,1951-09-13,9 July 2011
47,Sudan,Null,,,
48,Tanzania,Samia Suluhu,Chama Cha Mapinduzi,1960-01-27,19 March 2021
49,Togo,Faure Gnassingbé,UNIR,1966-06-06,4 May 2005
50,Tunisia,Kais Saied,Independent,1958-02-22,23 October 2019
51,Uganda,Yoweri Museveni,National Resistance Movement,1944-09-15,29 January 1986
52,Zambia,Hakainde Hichilema,United Party for National Development,1962-06-04,24 August 2021
53,Zimbabwe,Emmerson Mnangagwa,United National Independence Party,1942-09-15,24 November 2017
54,Sahrawi Arab Democratic Republic,Brahim Ghali,Movement for the Liberation of Saguia el Hamra and Wadi el Dhahab,1949-09-16,12 July 2016
55,Somaliland,Muse Bihi Abdi,"Peace, Unity, and Development Party",,13 December 2017
56,Bouvet Island,Harald V,,1937-02-21,
57,British Indian Ocean Territory,Elizabeth II,,1926-04-21,
58,French Southern and Antarctic Lands,Null,,,
59,Heard Island and McDonald Islands,Null,,,
60,Mayotte,Null,,,
61,Réunion,Null,,,
62,"Saint Helena, Ascension and Tristan da Cunha",Elizabeth II,,1926-04-21,
63,Afghanistan,Null,,,
64,Armenia,Armen Sarkissian,Independent,1952-06-23,9 April 2018
65,Azerbaijan,Ilham Aliyev,New Azerbaijan Party,1961-12-24,31 October 2003
66,Bahrain,Null,,,
67,Bangladesh,Abdul Hamid,Awami League,1944-01-01,14 March 2013
68,Bhutan,Null,,,
69,Brunei,Null,,,
70,Cambodia,Norodom Sihamoni,,1953-05-14,
71,China,Xi Jinping,Chinese Communist Party,1953-06-15,15 November 2012
72,Cyprus,Nicos Anastasiades,Centre Union,1946-09-27,28 February 2013
73,East Timor,Francisco Guterres,Fretilin,1954-09-07,20 May 2017
74,Georgia (country),Salome Zurabishvili,Way of Georgia,1952-03-18,16 December 2018
75,India,Ram Nath Kovind,Bharatiya Janata Party,1945-10-01,25 July 2017
76,Indonesia,Joko Widodo,PDI-P,1961-06-21,20 October 2014
77,Iran,Ebrahim Raisi,Combatant Clergy Association,1960-12-14,3 August 2021
78,Iraq,Barham Salih,Patriotic Union of Kurdistan,1960-09-12,2 October 2018
79,Israel,Isaac Herzog,Labor Party,1960-09-22,7 July 2021
80,Japan,Null,,,
81,Jordan,Abdullah II,,1962-01-30,
82,Kazakhstan,Kassym-Jomart Tokayev,Nur Otan,1953-05-17,20 March 2019
83,North Korea,Null,,,
84,South Korea,Moon Jae-in,Democratic,1953-01-24,"May 10, 2017"
85,Kuwait,Null,,,
86,Kyrgyzstan,Sadyr Japarov,Mekenchil,1968-12-06,28 January 2021
87,Laos,Thongloun Sisoulith,Lao People's Revolutionary Party,1945-11-10,15 January 2021
88,Lebanon,Michel Aoun,Free Patriotic Movement,1933-09-30,31 October 2016
89,Malaysia,Null,,,
90,Maldives,Ibrahim Mohamed Solih,Maldivian Democratic Party,1962-03-01,17 November 2018
91,Mongolia,Ukhnaagiin Khürelsükh,Mongolian People's Party,1968-06-14,25 June 2021
92,Myanmar,Myint Swe,Union Solidarity and Development Party,1951-05-24,1 February 2021
93,Nepal,Bidya Devi Bhandari,Independent,1961-06-19,29 October 2015
94,Oman,Null,,,
95,Pakistan,Arif Alvi,Pakistan Tehreek-e-Insaf,1949-08-29,9 September 2018
96,State of Palestine,Mahmoud Abbas,Fatah,1935-11-15,15 January 20051
97,Philippines,Rodrigo Duterte,PDP–Laban,1945-03-28,"June 30, 2016"
98,Qatar,Null,,,
99,Russia,Vladimir Putin,Independent,1952-10-07,7 May 2012
100,Saudi Arabia,Null,,,
101,Singapore,Halimah Yacob,Independent,1954-08-23,14 September 2017
102,Sri Lanka,Gotabaya Rajapaksa,,1949-06-20,18 November 2019
103,Syria,Bashar al-Assad,Syrian Ba'ath Party,1965-09-11,17 July 2000
104,Tajikistan,Emomali Rahmon,People's Democratic Party,1952-10-05,16 November 1994
105,Thailand,Vajiralongkorn,,1952-07-28,
106,Turkey,Recep Tayyip Erdoğan,Justice and Development Party,1954-02-26,28 August 2014
107,Turkmenistan,Gurbanguly Berdimuhamedow,Independent,1957-06-29,14 February 2007 
108,United Arab Emirates,Khalifa bin Zayed Al Nahyan,,1948-09-07,3 November 2004
109,Uzbekistan,Shavkat Mirziyoyev,Liberal Democratic Party,1957-07-24,14 December 2016
110,Vietnam,Nguyễn Xuân Phúc,Communist Party of Vietnam,1954-07-20,5 April 2021
111,Yemen,Abdrabbuh Mansur Hadi,General People's Congress,1945-09-01,27 February 2012
112,Abkhazia,Aslan Bzhania,,1963-04-06,23 April 2020
113,Republic of Artsakh,Arayik Harutyunyan,Free Motherland,1973-12-14,21 May 2020
114,Northern Cyprus,Ersin Tatar,UBP,1960-09-07,23 October 2020
115,South Ossetia,Anatoliy Bibilov,United Ossetia,1970-01-13,21 April 2017
116,Taiwan,Tsai Ing-wen,Democratic Progressive,1956-08-31,20 May 2016
117,Akrotiri and Dhekelia,Elizabeth II,,1926-04-21,
118,Ashmore and Cartier Islands,Null,,,
119,Christmas Island,Elizabeth II,,1926-04-21,
120,Cocos (Keeling) Islands,Elizabeth II,,1926-04-21,
121,Hong Kong,Null,,,
122,Macau,Null,,,
123,Albania,Ilir Meta,Independent,1969-03-24,24 July 2017
124,Andorra,Null,,,
125,Austria,Alexander Van der Bellen,Independent,1944-01-18,26 January 2017
126,Belarus,Alexander Lukashenko,Independent,1954-08-31,20 July 1994 
127,Belgium,Philippe,,1960-04-15,
128,Bosnia and Herzegovina,Null,,,
129,Bulgaria,Rumen Radev,Independent,1963-06-18,22 January 2017
130,Croatia,Zoran Milanović,Independent,1966-10-30,19 February 2020
131,Czech Republic,President,,,
132,Denmark,Margrethe II,,1940-04-16,
133,Estonia,Alar Karis,Independent,1958-03-26,11 October 2021
134,Finland,Sauli Niinistö,Independent,1948-08-24,1 March 2012
135,France,Emmanuel Macron,La République En Marche!,1977-12-21,14 May 2017
136,Germany,Frank-Walter Steinmeier,Social Democratic Party,1956-01-05,19 March 2017
137,Greece,Katerina Sakellaropoulou,Independent,1956-05-30,13 March 2020
138,Hungary,János Áder,Fidesz,1959-05-09,10 May 2012
139,Iceland,Guðni Th. Jóhannesson,Independent,1968-06-26,1 August 2016
140,Republic of Ireland,Michael D. Higgins,Independent,1941-04-18,11 November 2011
141,Italy,Sergio Mattarella,Independent,1941-07-23,3 February 2015
142,Latvia,Egils Levits,Latvian Way,1955-06-30,8 July 2019
143,Liechtenstein,Hans-Adam II,,1945-02-14,
144,Lithuania,Gitanas Nausėda,Independent,1964-05-19,12 July 2019
145,Luxembourg,Henri,,1955-04-16,
146,Malta,George Vella,Labour,1942-04-24,4 April 2019
147,Moldova,Maia Sandu,Independent,1972-05-24,24 December 2020
148,Monaco,Prince Albert II,,1958-03-14,
149,Montenegro,Milo Đukanović,SKJ,1962-02-15,20 May 2018
150,Kingdom of the Netherlands,Willem-Alexander,,1967-04-27,
151,North Macedonia,Stevo Pendarovski,,1963-04-03,12 May 2019
152,Norway,Harald V,,1937-02-21,
153,Poland,Andrzej Duda,Independent,1972-05-16,6 August 2015
154,Portugal,Marcelo Rebelo de Sousa,Independent,1948-12-12,9 March 2016
155,Romania,Klaus Iohannis,Independent politician,1959-06-13,21 December 2014
156,San Marino,Null,,,
157,Serbia,Aleksandar Vučić,SRS,1970-03-05,31 May 2017
158,Slovakia,Zuzana Čaputová,Progressive Slovakia,1973-06-21,15 June 2019
159,Slovenia,Borut Pahor,SKJ,1963-11-02,22 December 2012
160,Spain,Felipe VI,,1968-01-30,
161,Sweden,Carl XVI Gustaf,,1946-04-30,
162,Switzerland,Guy Parmelin,Swiss People's Party,1959-11-09,1 January 2021
163,Ukraine,Volodymyr Zelensky,Independent,1978-01-25,20 May 2019
164,United Kingdom,Elizabeth II,,1926-04-21,
165,Vatican City,Null,,,
166,Kosovo,Vjosa Osmani,Independent,1982-05-17,4 April 2021
167,Transnistria,Vadim Krasnoselsky,Renewal,1970-04-14,16 December 2016
168,Faroe Islands,Margrethe II,,1940-04-16,
169,Gibraltar,Elizabeth II,,1926-04-21,
170,Greenland,Margrethe II,,1940-04-16,
171,Bailiwick of Guernsey,Null,,,
172,Isle of Man,Null,,,
173,Jan Mayen,Null,,,
174,Jersey,Null,,,
175,Svalbard,Harald V,,1937-02-21,
176,Åland Islands,Null,,,
177,Antigua and Barbuda,Elizabeth II,,1926-04-21,
178,The Bahamas,Elizabeth II,,1926-04-21,
179,Barbados,Elizabeth II,,1926-04-21,
180,Belize,Elizabeth II,,1926-04-21,
181,Canada,Elizabeth II,,1926-04-21,
182,Costa Rica,Carlos Alvarado,Citizens' Action Party,1980-01-14,8 May 2018
183,Cuba,Miguel Díaz-Canel,Communist,1960-04-20,19 April 2021
184,Dominica,Charles Savarin,Labour Party,1943-10-02,2 October 2013
185,Dominican Republic,Luis Abinader,Modern Revolutionary Party,1967-07-12,16 August 2020
186,El Salvador,Nayib Bukele,Nuevas Ideas,1981-07-24,1 June 2019
187,Grenada,Elizabeth II,,1926-04-21,
188,Guatemala,Null,,,
189,Haiti,Ariel Henry,Inite,1949-11-06,20 July 2021
190,Honduras,Juan Orlando Hernández,National Party,1968-10-28,27 January 2014
191,Jamaica,Elizabeth II,,1926-04-21,
192,Mexico,Andrés Manuel López Obrador,National Regeneration Movement,1953-11-13,1 December 2018
193,Nicaragua,Daniel Ortega,FSLN,1945-11-11,10 January 2007
194,Panama,Laurentino Cortizo,Democratic Revolutionary Party,1953-01-30,1 July 2019
195,Saint Kitts and Nevis,Elizabeth II,,1926-04-21,
196,Saint Lucia,Elizabeth II,,1926-04-21,
197,Saint Vincent and the Grenadines,Elizabeth II,,1926-04-21,
198,Trinidad and Tobago,Paula-Mae Weekes,Independent,1958-12-23,19 March 2018
199,United States,Joe Biden,Democratic,1942-11-20,"January 20, 2021"
200,Anguilla,Elizabeth II,,1926-04-21,
201,Aruba,Willem-Alexander,,1967-04-27,
202,Bermuda,Null,,,
203,Bonaire,Null,,,
204,British Virgin Islands,Elizabeth II,,1926-04-21,
205,Cayman Islands,Elizabeth II,,1926-04-21,
206,Clipperton Island,Null,,,
207,Curaçao,Willem-Alexander,,1967-04-27,
208,Guadeloupe,Null,,,
209,Martinique,Null,,,
210,Montserrat,Elizabeth II,,1926-04-21,
211,Navassa Island,Null,,,
212,Puerto Rico,Joe Biden,Democratic,1942-11-20,"January 20, 2021"
213,Saba,Null,,,
214,Saint Barthélemy,Null,,,
215,Collectivity of Saint Martin,Null,,,
216,Saint Pierre and Miquelon,Null,,,
217,Sint Eustatius,Null,,,
218,Sint Maarten,Willem-Alexander,,1967-04-27,
219,Turks and Caicos Islands,Elizabeth II,,1926-04-21,
220,United States Virgin Islands,Null,,,
221,Australia,Elizabeth II,,1926-04-21,
222,Fiji,Wiliame Katonivere,,1964-04-20,12 November 2021
223,Kiribati,Taneti Maamau,Tobwaan Kiribati Party,1960-09-16,11 March 2016
224,Marshall Islands,David Kabua,Independent,,13 January 2020
225,Federated States of Micronesia,David Panuelo,,1964-04-13,"May 11, 2019"
226,Nauru,Lionel Aingimea,Independent,,27 August 2019
227,New Zealand,Elizabeth II,,1926-04-21,
228,Palau,Surangel Whipps Jr.,Independent,1968-08-09,21 January 2021
229,Papua New Guinea,Elizabeth II,,1926-04-21,
230,Samoa,Null,,,
231,Solomon Islands,Elizabeth II,,1926-04-21,
232,Tonga,Tupou VI,,1959-07-12,
233,Tuvalu,Elizabeth II,,1926-04-21,
234,Vanuatu,Cabinet,,,
235,Cook Islands,Elizabeth II,,1926-04-21,
236,Niue,Elizabeth II,,1926-04-21,
237,American Samoa,Null,,,
238,Baker Island,Null,,,
239,Coral Sea Islands,Null,,,
240,French Polynesia,Null,,,
241,Guam,Joe Biden,Democratic,1942-11-20,"January 20, 2021"
242,Howland Island,Null,,,
243,Jarvis Island,Null,,,
244,Johnston Atoll,Null,,,
245,Kingman Reef,Null,,,
246,Midway Atoll,Null,,,
247,New Caledonia,Null,,,
248,Norfolk Island,Elizabeth II,,1926-04-21,
249,Northern Mariana Islands,Null,,,
250,Palmyra Atoll,Null,,,
251,Pitcairn Islands,Null,,,
252,Tokelau,Elizabeth II,,1926-04-21,
253,Wake Island,Null,,,
254,Wallis and Futuna,Null,,,
255,Argentina,Alberto Fernández,Justicialist Party,1959-04-02,10 December 2019
256,Bolivia,Luis Arce,Movement for Socialism,1963-09-28,8 November 2020
257,Brazil,Jair Bolsonaro,Independent,1955-03-21,1 January 2019
258,Chile,Sebastián Piñera,National Renewal,1949-12-01,11 March 2018
259,Colombia,Iván Duque Márquez,Democratic Center,1976-08-01,7 August 2018
260,Ecuador,Guillermo Lasso,Creating Opportunities,1955-11-16,24 May 2021
261,Guyana,Irfaan Ali,People's Progressive Party/Civic,1980-04-25,2 August 2020
262,Paraguay,Mario Abdo Benítez,Colorado Party,1971-11-10,15 August 2018
263,Peru,Pedro Castillo,Free Peru,1969-10-19,28 July 2021
264,Suriname,Chan Santokhi,Progressive Reform Party,1959-02-03,16 July 2020
265,Uruguay,Luis Lacalle Pou,National Party,1973-08-11,1 March 2020
266,Venezuela,Nicolás Maduro,United Socialist Party of Venezuela,1962-11-23,5 March 2013
267,Falkland Islands,Elizabeth II,,1926-04-21,
268,French Guiana,Null,,,
269,South Georgia and the South Sandwich Islands,Elizabeth II,,1926-04-21,
